action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,391050,[],CHEMBL751372,Inhibition of [3H]norepinephrine uptake in HEK cells expressing human NET,B,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)C1C(c2ccc(O)c(O)c2)CC2CCC1N2C,,,CHEMBL1136450,Bioorg Med Chem Lett,2003.0,"{'bei': '23.21', 'le': '0.44', 'lle': '4.92', 'sei': '9.66'}",CHEMBL132683,,CHEMBL132683,6.76,0,http://www.openphacts.org/units/Nanomolar,254386,=,1,1,=,,IC50,nM,,173.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,173.0
,,391572,[],CHEMBL756262,Inhibition of NE uptake in HEK cells expressing human noradrenaline transporter (hNET),F,,,BAO_0000190,BAO_0000219,cell-based format,Cl.OC1(c2ccc3c(c2)OCO3)c2ccccc2C2=NCCCN21,,,CHEMBL1135775,J Med Chem,2002.0,,CHEMBL544370,,CHEMBL1193030,9.21,0,http://www.openphacts.org/units/Nanomolar,253122,=,1,1,=,,IC50,nM,,0.62,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,0.62
,,392730,[],CHEMBL752511,Inhibition of [3H]NE reuptake by human norepinephrine transporter expressed in HEK293 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(CCOC(c1ccccc1)c1ccccc1)C1CCN(CCCc2ccccc2)CC1,,,CHEMBL1133662,J Med Chem,2000.0,"{'bei': '15.13', 'le': '0.28', 'lle': '0.88', 'sei': '42.64'}",CHEMBL417049,,CHEMBL417049,6.70,0,http://www.openphacts.org/units/Nanomolar,117060,=,1,1,=,,IC50,nM,,200.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,0.2
,,392740,[],CHEMBL752511,Inhibition of [3H]NE reuptake by human norepinephrine transporter expressed in HEK293 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,,,CHEMBL1133662,J Med Chem,2000.0,"{'bei': '16.36', 'le': '0.30', 'lle': '1.74', 'sei': '43.17'}",CHEMBL26320,,CHEMBL26320,6.78,0,http://www.openphacts.org/units/Nanomolar,117058,=,1,1,=,,IC50,nM,,165.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,0.165
,,392890,[],CHEMBL756262,Inhibition of NE uptake in HEK cells expressing human noradrenaline transporter (hNET),F,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,,,CHEMBL1135775,J Med Chem,2002.0,,CHEMBL370805,COCAINE,CHEMBL370805,6.63,0,http://www.openphacts.org/units/Nanomolar,253093,=,1,1,=,,IC50,nM,,233.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,233.0
,,392902,[],CHEMBL756262,Inhibition of NE uptake in HEK cells expressing human noradrenaline transporter (hNET),F,,,BAO_0000190,BAO_0000219,cell-based format,OC1(c2ccc(Cl)cc2)c2cccc(F)c2C2=NCCN21,,,CHEMBL1135775,J Med Chem,2002.0,,CHEMBL336100,,CHEMBL336100,8.30,0,http://www.openphacts.org/units/Nanomolar,253131,=,1,1,=,,IC50,nM,,5.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,5.0
,,393947,[],CHEMBL756262,Inhibition of NE uptake in HEK cells expressing human noradrenaline transporter (hNET),F,,,BAO_0000190,BAO_0000219,cell-based format,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,,,CHEMBL1135775,J Med Chem,2002.0,,CHEMBL781,MAZINDOL,CHEMBL781,8.31,0,http://www.openphacts.org/units/Nanomolar,253128,=,1,1,=,,IC50,nM,,4.9,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,4.9
,,396564,[],CHEMBL752511,Inhibition of [3H]NE reuptake by human norepinephrine transporter expressed in HEK293 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Fc1ccc(CCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,,,CHEMBL1133662,J Med Chem,2000.0,"{'bei': '15.65', 'le': '0.29', 'lle': '1.54', 'sei': '27.63'}",CHEMBL67024,,CHEMBL67024,6.77,0,http://www.openphacts.org/units/Nanomolar,117062,=,1,1,=,,IC50,nM,,170.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,0.17
,,396693,[],CHEMBL756262,Inhibition of NE uptake in HEK cells expressing human noradrenaline transporter (hNET),F,,,BAO_0000190,BAO_0000219,cell-based format,Oc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1,,,CHEMBL1135775,J Med Chem,2002.0,,CHEMBL130668,,CHEMBL130668,8.72,0,http://www.openphacts.org/units/Nanomolar,253100,=,1,1,=,,IC50,nM,,1.9,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,nM,UO_0000065,,1.9
,,397775,[],CHEMBL752511,Inhibition of [3H]NE reuptake by human norepinephrine transporter expressed in HEK293 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(CCCc1ccccc1)C1CCN(CCOC(c2ccccc2)c2ccccc2)CC1,,,CHEMBL1133662,J Med Chem,2000.0,"{'bei': '15.24', 'le': '0.28', 'lle': '0.92', 'sei': '42.93'}",CHEMBL443797,,CHEMBL443797,6.75,0,http://www.openphacts.org/units/Nanomolar,117061,=,1,1,=,,IC50,nM,,180.0,CHEMBL222,Homo sapiens,Norepinephrine transporter,9606,,,IC50,uM,UO_0000065,,0.18
